nama_kosan,lokasi,type_kosan,fasilitas,harga
 Kost Laura Tipe C , Kemayoran , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.450.000 
 Kost Anisa Kebon Kacang 6 Tipe B , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.825.000 
 Kost Kanaya Tipe A , Kecamatan Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp4.175.000 
 Kost Dempo 9 Tipe D , Menteng , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.690.000 
 Kost Nabila Tipe C , Kecamatan Cempaka Putih , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp801.000 
 Kost W One Pasar Baru Tipe C , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.417.000 
 Kost Aipda Petamburan Tipe A , Tanah Abang , Putri ,"['WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.500.000 
 Kost House of Joy Tipe C , Sawah Besar , Putra ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.465.000 
 Kost Juanda Omaika Tipe B , Gambir , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.825.000 
 Kost 15 Tipe B , Kecamatan Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.425.000 
 Kost Nabila Tipe A , Kecamatan Cempaka Putih , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.497.000 
 Kost Pondok Anugrah Tipe B , Gambir , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.125.000 
 Kost Bella Vita Tipe E , Senen , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.025.000 
 Kost Ono Tipe C , Cempaka Putih , Campur ,"['WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp849.500 
 Kost TM Urban Stay Tipe A , Kemayoran , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.300.000 
 Kost Kramat Tipe A , Johar Baru , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp2.075.000 
 Kost Behring 41 Tipe A , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.500.000 
 Kost Kepu 66 Tipe B , Kemayoran , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.543.000 
 Kost Petojo 25 Tipe B , Gambir , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.725.000 
 Kost 33 Cempaka Baru Tipe A , Kemayoran , Putra ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.300.000 
 Kost Cempaka 15 Tipe B , Cempaka Putih , Putra ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp761.000 
 Kost Bugenvil Tipe A , Kemayoran , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.625.000 
 Kost E 18 Tipe B , Cempaka Putih , Putra ,"['WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp849.500 
